trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
730,False,"{'a': 0.002, 'e': 0.23270121206157107}",20,3,-26.62615682278946,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
731,False,"{'a': 0.002, 'e': 0.23223627472975883}",20,7,21.09324931732111,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.002, 'e': 0.23177226634335515}",35,14,14.740294779204174,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
733,False,"{'a': 0.002, 'e': 0.23130918504632592}",25,3,5.032728151558897,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
734,False,"{'a': 0.002, 'e': 0.23084702898634524}",30,0,-65.580252155936,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
735,False,"{'a': 0.002, 'e': 0.23038579631478834}",30,18,20.23406498660299,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.002, 'e': 0.22992548518672384}",25,14,8.787197727299777,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
737,False,"{'a': 0.002, 'e': 0.22946609376090668}",20,0,18.618350803333332,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
738,False,"{'a': 0.002, 'e': 0.2290076201997705}",20,2,-11.52281680943302,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
739,False,"{'a': 0.002, 'e': 0.2285500626694205}",20,16,8.986539636748859,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.002, 'e': 0.22809341933962587}",30,12,-41.89724592842248,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
741,False,"{'a': 0.002, 'e': 0.22763768838381274}",20,13,-15.48157353877779,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
742,False,"{'a': 0.002, 'e': 0.22718286797905665}",25,11,28.899898005148824,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.002, 'e': 0.22672895630607542}",20,2,-14.007326048291057,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
744,False,"{'a': 0.002, 'e': 0.2262759515492217}",25,3,10.639516694837498,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
745,False,"{'a': 0.002, 'e': 0.22582385189647586}",30,14,-31.07453249553298,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
746,False,"{'a': 0.002, 'e': 0.22537265553943872}",20,11,14.229147694413548,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
747,False,"{'a': 0.002, 'e': 0.22492236067332425}",20,9,-2.7562408729555834,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
748,False,"{'a': 0.002, 'e': 0.22447296549695234}",20,10,-56.985749985777254,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
749,False,"{'a': 0.002, 'e': 0.22402446821274175}",30,16,13.628858474199554,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
750,False,"{'a': 0.002, 'e': 0.22357686702670268}",20,0,2.6107742453227196,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
751,False,"{'a': 0.002, 'e': 0.22313016014842982}",30,13,23.377776390189144,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
752,False,"{'a': 0.002, 'e': 0.22268434579109508}",25,10,12.932394453603557,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
753,False,"{'a': 0.002, 'e': 0.2222394221714404}",30,13,17.01400830173965,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
754,False,"{'a': 0.002, 'e': 0.22179538750977074}",20,15,9.531209381685116,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
755,False,"{'a': 0.002, 'e': 0.22135224002994683}",20,0,25.62060418207508,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
756,False,"{'a': 0.002, 'e': 0.2209099779593782}",30,6,-15.957883725097364,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
757,False,"{'a': 0.002, 'e': 0.22046859952901593}",25,6,11.913007989329408,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
758,False,"{'a': 0.002, 'e': 0.22002810297334574}",20,12,2.2812242277352404,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
759,False,"{'a': 0.002, 'e': 0.21958848653038082}",35,18,9.412150713888865,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
760,False,"{'a': 0.002, 'e': 0.2191497484416548}",25,11,-23.622489803194117,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
761,False,"{'a': 0.002, 'e': 0.21871188695221475}",25,18,7.30813179398947,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
762,False,"{'a': 0.002, 'e': 0.21827490031061414}",25,19,1.6502533202953467,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
763,False,"{'a': 0.002, 'e': 0.21783878676890578}",25,0,-22.78867411046024,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
764,False,"{'a': 0.002, 'e': 0.21740354458263497}",20,0,5.068949930587744,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
765,False,"{'a': 0.002, 'e': 0.21696917201083235}",30,4,44.46936439239626,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,False,"{'a': 0.002, 'e': 0.21653566731600707}",25,6,19.67872454550063,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
767,False,"{'a': 0.002, 'e': 0.21610302876413975}",20,0,-91.28550328016684,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
